item,price_naira,unit,market,date_recorded
Rice (local),61000.0,50kg bag,MILE 12,2026-04-13
Tomato,60000.0,Big basket,MILE 12,2026-04-13
Beans (brown),950.0,1kg,GENERAL,2026-04-13
Onion,450.0,1kg,GENERAL,2026-04-13
Garri (white),800.0,1kg,MUSHIN,2026-04-13
Imported Rice,85000.0,50kg bag,MILE 12,2026-04-13
White Maize,1200.0,1 Paint (Mudu),OYINGBO,2026-04-13
New Yam,4500.0,1 Tuber,MILE 12,2026-04-13
Sweet Potato,15000.0,1 Basket,MUSHIN,2026-04-13
Beef (with bone),4500.0,1kg,GENERAL,2026-04-13
Eggs,5500.0,1 Crate,GENERAL,2026-04-13
Fresh Pepper (Atarodo),5000.0,1kg,MILE 12,2026-04-13
Palm Oil,1200.0,1 Bottle (75cl),MUSHIN,2026-04-13
Vegetable Oil,1500.0,1 Bottle (75cl),OYINGBO,2026-04-13
Yellow Maize,1300.0,1 Paint (Mudu),OYINGBO,2026-04-13
Garri (yellow),950.0,1kg,MUSHIN,2026-04-13
Plantain (Ripe),3500.0,1 Bunch,MILE 12,2026-04-13
Plantain (Unripe),3200.0,1 Bunch,MILE 12,2026-04-13
Frozen Chicken,5500.0,1kg,GENERAL,2026-04-13
Frozen Fish (Titus),4800.0,1kg,MUSHIN,2026-04-13
Cowpea,1100.0,1kg,OYINGBO,2026-04-13
Irish Potato,22000.0,1 Basket,MILE 12,2026-04-13
Dried Fish,8500.0,1 Medium Plate,OYINGBO,2026-04-13
Crayfish,4500.0,1 Paint (Mudu),OYINGBO,2026-04-13
Salt,300.0,500g Pack,GENERAL,2026-04-13
Sugar,1500.0,1kg Pack,GENERAL,2026-04-13
Bread (Family Loaf),1200.0,1 Loaf,GENERAL,2026-04-13
Ugwu Leaves,500.0,1 Bundle,MILE 12,2026-04-13
Ewedu Leaves,400.0,1 Bundle,MUSHIN,2026-04-13
Okra,1500.0,1 Small Basket,MILE 12,2026-04-13
Groundnut,1800.0,1 Bottle,OYINGBO,2026-04-13
Soya Beans,1100.0,1kg,OYINGBO,2026-04-13
