item,price_naira,unit,market,date_recorded
Rice (local),61000.0,50kg bag,MILE 12,2026-04-20
Tomato,60000.0,Big basket,MILE 12,2026-04-20
Beans (brown),950.0,1kg,GENERAL,2026-04-20
Onion,450.0,1kg,GENERAL,2026-04-20
Garri (white),800.0,1kg,MUSHIN,2026-04-20
Imported Rice,85000.0,50kg bag,MILE 12,2026-04-20
White Maize,1200.0,1 Paint (Mudu),OYINGBO,2026-04-20
New Yam,4500.0,1 Tuber,MILE 12,2026-04-20
Sweet Potato,15000.0,1 Basket,MUSHIN,2026-04-20
Beef (with bone),4500.0,1kg,GENERAL,2026-04-20
Eggs,5500.0,1 Crate,GENERAL,2026-04-20
Fresh Pepper (Atarodo),5000.0,1kg,MILE 12,2026-04-20
Palm Oil,1200.0,1 Bottle (75cl),MUSHIN,2026-04-20
Vegetable Oil,1500.0,1 Bottle (75cl),OYINGBO,2026-04-20
Yellow Maize,1300.0,1 Paint (Mudu),OYINGBO,2026-04-20
Garri (yellow),950.0,1kg,MUSHIN,2026-04-20
Plantain (Ripe),3500.0,1 Bunch,MILE 12,2026-04-20
Plantain (Unripe),3200.0,1 Bunch,MILE 12,2026-04-20
Frozen Chicken,5500.0,1kg,GENERAL,2026-04-20
Frozen Fish (Titus),4800.0,1kg,MUSHIN,2026-04-20
Cowpea,1100.0,1kg,OYINGBO,2026-04-20
Irish Potato,22000.0,1 Basket,MILE 12,2026-04-20
Dried Fish,8500.0,1 Medium Plate,OYINGBO,2026-04-20
Crayfish,4500.0,1 Paint (Mudu),OYINGBO,2026-04-20
Salt,300.0,500g Pack,GENERAL,2026-04-20
Sugar,1500.0,1kg Pack,GENERAL,2026-04-20
Bread (Family Loaf),1200.0,1 Loaf,GENERAL,2026-04-20
Ugwu Leaves,500.0,1 Bundle,MILE 12,2026-04-20
Ewedu Leaves,400.0,1 Bundle,MUSHIN,2026-04-20
Okra,1500.0,1 Small Basket,MILE 12,2026-04-20
Groundnut,1800.0,1 Bottle,OYINGBO,2026-04-20
Soya Beans,1100.0,1kg,OYINGBO,2026-04-20
